name,address,rating,website,opening_hours,cuisine_type
Food Truck catering mediterranean food,"930 West Broadway Road #11-C, Tempe",5,https://healthyfoodtruckcatering.com/,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: Closed', 'Sunday: Closed']","restaurant, food, point_of_interest, establishment"
NURISH fresh eats.,"2013 East Cedar Street, Tempe",5,http://nurishfresheats.com/,1 0 A M   -   1 1 P M,"restaurant, food, point_of_interest, establishment"
Yolo's Authentic Mexican,"1900 East 5th Street, Tempe",5,http://www.yolosauthmex.com/,"['Monday: Closed', 'Tuesday: 11:00 AM – 7:00 PM', 'Wednesday: 11:00 AM – 7:00 PM', 'Thursday: 11:00 AM – 7:00 PM', 'Friday: 11:00 AM – 9:00 PM', 'Saturday: 11:00 AM – 9:00 PM', 'Sunday: Closed']","restaurant, food, point_of_interest, establishment"
Island Boyz Jerk Spot,"1900 East 5th Street, Tempe",4.7,https://www.islandboyzjerkspot.com/,"['Monday: 11:00 AM – 12:00 AM', 'Tuesday: 11:00 AM – 12:00 AM', 'Wednesday: 11:00 AM – 12:00 AM', 'Thursday: 11:00 AM – 12:00 AM', 'Friday: 11:00 AM – 1:30 AM', 'Saturday: 11:00 AM – 1:30 AM', 'Sunday: 11:00 AM – 12:00 AM']","restaurant, food, point_of_interest, establishment"
Hummus Xpress,"930 West Broadway Road UNIT 11, Tempe",4.7,https://hummusxpress.com/,"['Monday: 10:00 AM – 6:00 PM', 'Tuesday: 10:00 AM – 6:00 PM', 'Wednesday: 10:00 AM – 6:00 PM', 'Thursday: 10:00 AM – 6:00 PM', 'Friday: 10:00 AM – 6:00 PM', 'Saturday: Closed', 'Sunday: Closed']","restaurant, point_of_interest, food, establishment"
Prime Design Food Trucks,"229 South Clark Drive, Tempe",4.9,http://www.primedesignfoodtrucks.com/,"['Monday: 7:00 AM – 2:30 PM', 'Tuesday: 7:00 AM – 2:30 PM', 'Wednesday: 7:00 AM – 2:30 PM', 'Thursday: 7:00 AM – 2:30 PM', 'Friday: 7:00 AM – 2:30 PM', 'Saturday: Closed', 'Sunday: Closed']","car_dealer, car_repair, store, point_of_interest, establishment"
Tempe Food Court,"1900 East 5th Street, Tempe",4,http://tempefoodcourt.com/,"['Monday: 9:00 AM – 11:30 PM', 'Tuesday: 9:00 AM – 11:30 PM', 'Wednesday: 9:00 AM – 11:30 PM', 'Thursday: 9:00 AM – 11:30 PM', 'Friday: 9:00 AM – 11:30 PM', 'Saturday: 9:00 AM – 11:30 PM', 'Sunday: 9:00 AM – 11:30 PM']","restaurant, food, point_of_interest, establishment"
The Hive Food,"1400 South McClintock Drive, Tempe",5,N/A,1 0 A M   -   1 1 P M,"restaurant, food, point_of_interest, establishment"
Rebel Wings,"85 East Broadway Road, Tempe",1,N/A,1 0 A M   -   1 1 P M,"restaurant, point_of_interest, food, establishment"
Mesquite Fresh Street Mex (Speedy Street Tacos),"4002 East Washington Street, Phoenix",4.2,https://eatmesquite.com/,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","restaurant, point_of_interest, food, establishment"
Tacos & Mas,"501 South Mill Avenue #300, Tempe",4,https://tacos-mas-mexican-restaurant.business.site/?utm_source=gmb&utm_medium=referral,"['Monday: 11:00 AM – 2:00 AM', 'Tuesday: 11:00 AM – 2:00 AM', 'Wednesday: 11:00 AM – 2:00 AM', 'Thursday: 11:00 AM – 2:00 AM', 'Friday: 11:00 AM – 2:00 AM', 'Saturday: 11:00 AM – 2:00 AM', 'Sunday: 11:00 AM – 2:00 AM']","restaurant, food, point_of_interest, establishment"
Tacos Piratas Sabor Mexicano LLC.,"2020 North Scottsdale Road, Scottsdale",5,N/A,"['Monday: Closed', 'Tuesday: 5:30 – 10:00 PM', 'Wednesday: 5:30 – 10:00 PM', 'Thursday: 5:30 – 10:00 PM', 'Friday: 5:30 – 10:00 PM', 'Saturday: Closed', 'Sunday: Closed']","restaurant, point_of_interest, food, establishment"
