Start Time,Name,Cuisine,Address,Travel Mode,Travel Distance,Travel Time
09:00 AM,NURISH fresh eats.,"restaurant, food, point_of_interest, establishment","2013 East Cedar Street, Tempe",Driving,4.6 mi,14 mins
09:44 AM,Yolo's Authentic Mexican,"restaurant, food, point_of_interest, establishment","1900 East 5th Street, Tempe",Driving,4.2 mi,13 mins
10:27 AM,Island Boyz Jerk Spot,"restaurant, food, point_of_interest, establishment","1900 East 5th Street, Tempe",Driving,4.2 mi,13 mins
11:10 AM,Hummus Xpress,"restaurant, point_of_interest, food, establishment","930 West Broadway Road UNIT 11, Tempe",Driving,1 ft,1 min
11:41 AM,Prime Design Food Trucks,"car_dealer, car_repair, store, point_of_interest, establishment","229 South Clark Drive, Tempe",Driving,4.7 mi,13 mins
12:24 PM,Tempe Food Court,"restaurant, food, point_of_interest, establishment","1900 East 5th Street, Tempe",Driving,4.2 mi,13 mins
01:07 PM,The Hive Food,"restaurant, food, point_of_interest, establishment","1400 South McClintock Drive, Tempe",Driving,3.1 mi,8 mins
01:45 PM,Rebel Wings,"restaurant, point_of_interest, food, establishment","85 East Broadway Road, Tempe",Driving,1.0 mi,4 mins
02:19 PM,Mesquite Fresh Street Mex (Speedy Street Tacos),"restaurant, point_of_interest, food, establishment","4002 East Washington Street, Phoenix",Driving,5.2 mi,12 mins
03:01 PM,Tacos & Mas,"restaurant, food, point_of_interest, establishment","501 South Mill Avenue #300, Tempe",Driving,2.1 mi,8 mins
03:39 PM,Tacos Piratas Sabor Mexicano LLC.,"restaurant, point_of_interest, food, establishment","2020 North Scottsdale Road, Scottsdale",Driving,6.1 mi,15 mins
